word,part_of_speech,category,meaning,question_id, part_of_speech,Category,part_of_practice,example,object,part_of speech
sex,NOUN,technical term,Biological distinction between male and female,48,,,,,,
situation,NOUN,technical term,international relations,48,,,,,,
social,ADJ,technical term,relating to relationships between individuals and groups,48,,,,,,
solve,VERB,,find a solution,48,,,,,,
strengthen,VERB,,increase power or support,48,,,,,,
suppression,NOUN,technical term,the act of putting an end to something by force,48,,,,,,
take,VERB,,engage in action,48,,,,,,
the United Nations,DET,organization name,United Nations Organization,48,,,,,,
threat,NOUN,technical term,risk to peace and security,48,,,,,,
trade,NOUN,technical term,Exchange of goods and services,48,,,,,,
universal,ADJ,,applicable to everyone ,48,,,,,,
Purposes,NOUN,Technical Term,The intended aims or goals of an organization or project,49,,,,,,
accord,VERB,Technical Term,To agree to or give consent to something,49,,,,,,
achieve,VERB,Technical Term,To successfully accomplish or attain a goal,49,,,,,,
act,NOUN,Technical Term,"A deed, action, or performance",49,,,,,,
action,NOUN,Technical Term,The process of doing something or causing something to happen,49,,,,,,
adjustment,NOUN,Technical Term,A modification or alteration made to achieve a desired outcome,49,,,,,,
aggression,NOUN,Technical Term,Violent or hostile behavior,49,,,,,,
appropriate,ADJ,,Suitable or fitting for a particular purpose or situation,49,,,,,,
attainment,"NOUN, PROPN",Technical Term,The act of achieving something,49,,,,,,
base,VERB,,To establish or set up something,49,,,,,,
breach,NOUN,Technical Term,"A violation or breaking of a law, agreement, or trust",49,,,,,,
bring,VERB,,To cause something to happen or exist,49,,,,,,
center,NOUN,Technical Term,A central point or location,49,,,,,,
centre,NOUN,Technical Term,A central point or location,49,,,,,,
character,NOUN,Individual Name,The qualities that distinguish a person or thing,49,,,,,,
also,ADV,,,49,,,,,,
co-operation,NOUN,organization name,International collaboration and assistance.,49,,,,,,
collective,ADJ,technical term,Relating to a group acting as one.,49,,,,,,
common,ADJ,technical term,Shared by or belonging to multiple things or parties.,49,,,,,,
conformity,NOUN,technical term,Agreement with established rules or expectations.,49,,,,,,
coordinate,VERB,technical term,To arrange and synchronize actions or processes.,49,,,,,,
cultural,ADJ,technical term,"Pertaining to the arts, beliefs, customs, and social behaviors of a group.",49,,,,,,
develop,VERB,technical term,To progress and enhance over time.,49,,,,,,
dispute,NOUN,organization name,A disagreement or conflict between parties.,49,,,,,,
distinction,NOUN,technical term,The quality of being different and noticeable.,49,,,,,,
economic,ADJ,technical term,"Relating to the production, distribution, and consumption of goods and services.",49,,,,,,
effective,ADJ,technical term,Producing a desired outcome.,49,,,,,,
encouraging,ADJ,technical term,Inspiring hope or confidence.,49,,,,,,
end,NOUN,technical term,Goal or objective.,49,,,,,,
equal,ADJ,technical term,"Fair and just, not favoring one over another.",49,,,,,,
event,NOUN,organization name,Gathering or occurrence.,49,,,,,,
financial,ADJ,technical term,Related to money or investments.,49,,,,,,
freedom,NOUN,technical term,State of being unrestrained by restrictions.,49,,,,,,
friendly,ADJ,technical term,Courteous and welcoming.,49,,,,,,
fundamental,ADJ,technical term,Basic or essential.,49,,,,,,
global,ADJ,technical term,Involving the whole world.,49,,,,,,
goal,NOUN,technical term,Desired outcome or objective,49,,,,,,
harmonize,VERB,technical term,To coordinate and align actions towards a common purpose,49,,,,,,
human,ADJ,technical term,Relating to beings of the species *Homo sapiens*,49,,,,,,
humanitarian,ADJ,technical term,Concerned with improving human welfare and alleviating suffering,49,,,,,,
international,ADJ,technical term,Occurring or involving multiple nations,49,,,,,,
justice,NOUN,technical term,"Fairness, righteousness, and the upholding of moral principles",49,,,,,,
language,NOUN,technical term,"A system of communication using sounds, symbols or gestures with shared meaning",49,,,,,,
law,NOUN,technical term,System of rules and regulations enforced by a governing authority,49,,,,,,
lead,VERB,technical term,"To guide, direct, or be in charge of",49,,,,,,
maintain,VERB,technical term,"To preserve, uphold, or keep in a certain state",49,,,,,,
mean,NOUN,technical term,Average value,49,,,,,,
measure,NOUN,technical term,Quantify or assess something,49,,,,,,
nation,NOUN,organization name,Country or sovereign state,49,,,,,,
organize,VERB,technical term,Arrange or coordinate resources and activities,49,,,,,,
other,ADJ,technical term,Not specified or included,49,,,,,,
peace,NOUN,technical term,Absence of war or violence,49,,,,,,
peaceful,ADJ,technical term,"Characterized by peacefulness, tranquility",49,,,,,,
people,NOUN,individual name,Humans in general,49,,,,,,
policy,NOUN,technical term,Course of action or set of principles guiding decisions,49,,,,,,
prevention,NOUN,technical term,Act or measure taken to stop something from happening,49,,,,,,
principle,NOUN,technical term,Fundamental truth or accepted standard guiding action or thought.,49,,,,,,
problem,NOUN,technical term,Issue or dilemma requiring attention and resolution.,49,,,,,,
promote,VERB,technical term,"To advance or support a cause, idea, or activity.",49,,,,,,
race,NOUN,technical term,"Competition between individuals, groups, or nations.",49,,,,,,
regulate,VERB,technical term,To establish and enforce rules and standards for something.,49,,,,,,
relation,NOUN,technical term,Connection or association between things or people.,49,,,,,,
religion,NOUN,technical term,"Belief system encompassing spiritual experiences, rituals, and moral codes.",49,,,,,,
removal,NOUN,technical term,The act of taking something away or removing it from a place.,49,,,,,,
respect,NOUN,technical term,"Courtesy, consideration, and regard for others.",49,,,,,,
right,NOUN,technical term,Moral or legal claim to something; entitlement or privilege.,49,,,,,,
security,NOUN,technical term,protection from harm,49,,,,,,
self-determination,NOUN,technical term,right of a nation or people to choose their own government and form of social organization,49,,,,,,
serve,VERB,,provide assistance or be useful for a purpose,49,,,,,,
settlement,NOUN,,a solution to a problem or dispute,49,,,,,,
sex,NOUN,technical term,biological and anatomical distinction between males and females,49,,,,,,
situation,NOUN,,a set of circumstances or conditions,49,,,,,,
social,ADJ,technical term,relating to society or human interaction,49,,,,,,
solve,VERB,,find a solution to a problem,49,,,,,,
sporting,NOUN,technical term,related to sports or competition,49,,,,,,
strengthen,VERB,,make something stronger,49,,,,,,
suppression,NOUN,Technical Term,Prevention or Control of Actions,49,,,,,,
take,VERB,Action,Perform an Action,49,,,,,,
text,NOUN,Technical Term,Written Language,49,,,,,,
the United Nations,DET,Organization Name,International Organization for Peace and Security,49,,,,,,
threat,NOUN,Technical Term,Potential Danger,49,,,,,,
tourism,NOUN,Activity Type,Travel and Recreation,49,,,,,,
universal,ADJ,Concept,Worldwide or All-Encompassing,49,,,,,,
declare,VERB,,To formally announce or state something unequivocally.,50,,,,,,
behalf,NOUN,Technical Term,Representation,50,,,,,,
cause,NOUN,Concept,Factor,50,,,,,,
accord,VERB,ACTION,"Agree, Consent",50,,,,,,
battlefield,NOUN,PLACE,Site of Combat,50,,,,,,
begin,VERB,ACTION,"Start, Initiate",50,,,,,,
break,VERB,ACTION,"Shatter, Fracture",50,,,,,,
common,ADJ,QUALITY,Shared,50,,,,,,
construct,VERB,ACTION,"Build, Create",50,,,,,,
defence,NOUN,technical term,Military Protection,50,,,,,,
difference,NOUN,technical term,Dissimilarity,50,,,,,,
economy,NOUN,technical term,Financial System,50,,,,,,
government,NOUN,organization name,Political Authority,50,,,,,,
history,NOUN,technical term,Past Events,50,,,,,,
ignorance,NOUN,technical term,Lack of Knowledge,50,,,,,,
life,NOUN,technical term,Biological Existence,50,,,,,,
man,NOUN,individual name,Human Male,50,,,,,,
mankind,NOUN,technical term,Humankind,50,,,,,,
mind,NOUN,technical term,Cognitive Processes,50,,,,,,
mistrust,NOUN,Technical Term,Breakdown in trust between individuals or groups,50,,,,,,
often,ADV,,Frequently,50,,,,,,
other,ADJ,,Distinct from the present one or ones previously mentioned,50,,,,,,
peace,NOUN,Technical Term,"State of freedom from disturbance, conflict, or hostility",50,,,,,,
people,NOUN,Organization Name,Group of individuals living together in a particular society,50,,,,,,
suspicion,NOUN,Technical Term,Feeling of doubt or mistrust regarding someone or something,50,,,,,,
text,NOUN,Technical Term,Written or printed matter,50,,,,,,
too,ADV,,Excessively; to a too great extent,50,,,,,,
war,NOUN,Technical Term,State of armed conflict between nations or states,50,,,,,,
way,NOUN,,Method or manner of doing something,50,,,,,,
world,NOUN,"organization name, technical term",Global Community,50,,,,,,
behalf,NOUN,Technical Term,Representation ,51,,,,,,
declare,VERB,Action,To Officially State,51,,,,,,
construct,VERB,Action,To Build,51,,,,,,
common,ADJ,Quality,Shared,51,,,,,,
cause,NOUN,Concept,Reason,51,,,,,,
begin,VERB,,Commence,51,,,,,,
break,VERB,,Interrupt or shatter,51,,,,,,
defence,NOUN,,Act of protecting against,51,,,,,,
defense,NOUN,,Act of protecting against,51,,,,,,
difference,NOUN,technical term,Disagreement or contrast between things.,51,,,,,,
history,NOUN,technical term,The past events leading to current circumstances.,51,,,,,,
ignorance,NOUN,technical term,Lack of knowledge or understanding.,51,,,,,,
life,NOUN,technical term,The condition of being alive and functioning.,51,,,,,,
man,NOUN,individual name,A human being (often used in a broader sense),51,,,,,,
mankind,NOUN,organization name,All of humanity.,51,,,,,,
military,ADJ,organization name,Related to warfare or armed forces.,51,,,,,,
mind,NOUN,technical term,"The element of a person that enables them to be aware of the world and their experiences, to think, and to feel.",51,,,,,,
mistrust,NOUN,technical term,A lack of confidence or trust in someone or something.,51,,,,,,
often,ADV,,Frequently or habitually.,51,,,,,,
peace,NOUN,technical term,state of tranquility and absence of conflict,51,,,,,,
people,NOUN,individual name,"units of population, individuals in society",51,,,,,,
political,ADJ,technical term,"relating to power, governance, and decision-making within a society",51,,,,,,
strategy,NOUN,technical term,a carefully planned scheme or method for achieving a specific goal,51,,,,,,
system,NOUN,technical term,"an organized structure with interconnected parts, designed to achieve a particular purpose",51,,,,,,
suspicion,NOUN,Technical Term,Distrust,51,,,,,,
other,ADJ,,,51,,,,,,
suggest,VERB,,,51,,,,,,
text,NOUN,,,51,,,,,,
too,ADV,,,51,,,,,,
war,NOUN,technical term,conflict between organized groups,51,,,,,,
way,NOUN,technical term,manner of life or custom,51,,,,,,
wealth,NOUN,higher-level concept,accumulated possessions or resources,51,,,,,,
world,NOUN,higher-level concept,global environment or society,51,,,,,,
accord,VERB,Organization Name,Agreement,52,,,,,,
begin,VERB,Technical Term,Commencement,52,,,,,,
behalf,NOUN,Organization Name,Representation,52,,,,,,
break,VERB,Individual Name,Fracture,52,,,,,,
cause,NOUN,Technical Term,Reason,52,,,,,,
common,ADJ,Organization Name,Shared,52,,,,,,
construct,VERB,Technical Term,Build,52,,,,,,
cultural,ADJ,Organization Name,Civilizational,52,,,,,,
declare,VERB,Technical Term,Proclaim,52,,,,,,
defence,NOUN,technical term,"Protective measures, security",52,,,,,,
difference,NOUN,abstract concept,Disparity between entities or ideas,52,,,,,,
disagreement,NOUN,abstract concept,"Lack of consensus, differing opinions",52,,,,,,
economic,ADJ,technical term,Relating to the economy and financial matters,52,,,,,,
history,NOUN,abstract concept,"The record of past events, development over time",52,,,,,,
ignorance,NOUN,abstract concept,Lack of knowledge or awareness,52,,,,,,
life,NOUN,abstract concept,"The state of being alive, existence",52,,,,,,
man,NOUN,individual name,Human being (generic),52,,,,,,
mankind,NOUN,technical term,The entire human race,52,,,,,,
mind,NOUN,abstract concept,"Thoughts, consciousness, intellectual capacity",52,,,,,,
mistrust,NOUN,technical term,Lack of trust between people or groups.,52,,,,,,
often,ADV,,Frequency or occurrence,52,,,,,,
other,ADJ,,Not the same as previously mentioned.,52,,,,,,
peace,NOUN,technical term,Freedom from disturbance or conflict.,52,,,,,,
people,NOUN,organization name,A large group of individuals in a society or community.,52,,,,,,
political,ADJ,,"Relating to government, leadership, or public affairs.",52,,,,,,
suspicion,NOUN,technical term,A feeling or belief that something bad may happen or is happening; distrustful attitude.,52,,,,,,
text,NOUN,,Written or printed matter.,52,,,,,,
too,ADV,,"Also, excessively.",52,,,,,,
tradition,NOUN,technical term,"A customary belief, practice or behavior passed down from generation to generation.",52,,,,,,
war,NOUN,Technical Term,Conflict,52,,,,,,
way,NOUN,Technical Term,"Method, Approach",52,,,,,,
world,NOUN,Organization Name,Global Community,52,,,,,,
advance,NOUN,Technical Term,"Progress, Development",53,,,,,,
alliance,NOUN,Organization Name,Group of Nations for Shared Purpose,53,,,,,,
assistance,NOUN,Technical Term,"Help, Support",53,,,,,,
concern,NOUN,Higher-Level Concept,"Worry, Attention, Interest",53,,,,,,
constitute,VERB,Technical Term,"Make up, Form,",53,,,,,,
culture,NOUN,Higher-Level Concept,"Values, Beliefs, Traditions",53,,,,,,
democratic,ADJ,Political Term,Based on the Rule of the People,53,,,,,,
denial,NOUN,Higher-Level Concept,"Refusal, Disbelief",53,,,,,,
diffusion,NOUN,Technical Term,"Spread, Distribution",53,,,,,,
dignity,NOUN,Higher-Level Concept,"Respect, Honor, Worth",53,,,,,,
doctrine,NOUN,technical term,concepts,53,,,,,,
